_id,avg_pm10
100 ail,1076.026
MNB,817.5933333333334
Baruun 4 zam,606.141
Amgalan,514.4295246038365
"Delhi Technological University, Delhi - CPCB",273.69
Nisekh,241.81465880370683
Bukhiin urguu,212.02416666666667
"R K Puram, Delhi - DPCC",199.94113183333334
Konarskiego,160.16583333333332
"Punjabi Bagh, Delhi - DPCC",152.53340822222222
Concón,98.40446166666668
Talagante,94.8928575
Zegveld,75.29585211571792
Santiago,66.96317507418398
Puente Alto,63.32440916666666
Ventanas,26.061883746253745
Utrecht,23.036462466464286
Heerlen,22.22979204187537
Wieringerwerf,21.52696099541253
Braakman,21.391645685193154
Rotterdam,20.801262843024446
Haringey,20.715
Ursynów,20.3195
Wekerom,17.447707850673982
Zaandam,16.93628313406675
Chiguayante,16.288366583541148
Groningen,14.149096668399375
Valparaíso,9.751229268292683
