city,avg_value
100 ail,1076.026
MNB,817.5933333333334
Baruun 4 zam,606.141
Amgalan,514.4295246038365
Delhi Technological University, Delhi - CPCB,273.68999999999994
Nisekh,241.81465880370683
Bukhiin urguu,212.02416666666667
R K Puram, Delhi - DPCC,199.94113183333351
Konarskiego,160.16583333333358
Punjabi Bagh, Delhi - DPCC,152.53340822222336
Concón,98.40446166666663
Zegveld,75.29585211571803
Santiago,66.96317507418401
Puente Alto,63.32440916666674
Ventanas,26.061883746253756
Utrecht,23.036462466464318
Wieringerwerf,21.526960995412548
Braakman,21.39164568519312
Rotterdam,20.801262843024467
London,20.715
Ursynów,20.31950000000001
Wekerom,17.447707850674007
Zaandam,16.936283134066755
Chiguayante,16.28836658354113
Talagante,14.949696666666638
Groningen,14.149096668399372
Valparaíso,9.75122926829268
